# q	i	err
6.217600000000000210e-02 -2.191049071428580587e-04 2.404285080714285879e-03
6.235600000000000170e-02 -7.670320671428572032e-04 3.702512349857143507e-03
6.253499999999999337e-02 3.874138357142852896e-04 1.832215781285714395e-03
6.271500000000000685e-02 6.772820299999993089e-04 1.412311670999999999e-03
6.289500000000000646e-02 6.383522342857142181e-04 1.500468571285714292e-03
6.307500000000000606e-02 8.762478714285711501e-04 1.454223185142857139e-03
6.325400000000000467e-02 8.351584785714275113e-04 1.367819046000000186e-03
6.343400000000000427e-02 7.684645228571426257e-04 1.401260618571428763e-03
6.361400000000000388e-02 1.106238247142855499e-03 1.309077719999999796e-03
6.379400000000000348e-02 7.967644114285710524e-04 1.369607768714285701e-03
6.397300000000000209e-02 9.470517314285712166e-04 1.549740076285714479e-03
6.415300000000000169e-02 1.213431604285715058e-03 1.499464236142857270e-03
6.433300000000000129e-02 8.368999071428561646e-04 1.422412117000000035e-03
6.451300000000000090e-02 7.203940028571410251e-04 1.543122386571428584e-03
6.469300000000000050e-02 8.401440114285714392e-04 1.342551766857143095e-03
6.487199999999999911e-02 2.468661222857143362e-03 3.827139978428571471e-03
6.505199999999999871e-02 1.276722642857143052e-03 1.794412883142857242e-03
6.523199999999999832e-02 8.589013099999990002e-04 1.461292037285714116e-03
6.541199999999999792e-02 8.455640271428560345e-04 1.284288457142857389e-03
6.559099999999999653e-02 6.404098500000004936e-04 1.339358815571428446e-03
6.577099999999999613e-02 7.531379757142842935e-04 1.350700522142857197e-03
6.595099999999999574e-02 7.633313757142870613e-04 1.330745599857143056e-03
6.613099999999999534e-02 8.200034414285705927e-04 1.450373329714286065e-03
6.630999999999999395e-02 8.568295399999992842e-04 1.412231519571428536e-03
6.648999999999999355e-02 8.004157785714273400e-04 1.285868785857142722e-03
6.666999999999999316e-02 6.567829942857131851e-04 1.273001487428571414e-03
6.685000000000000664e-02 4.257470999999975691e-04 1.275818391285714294e-03
6.702900000000000524e-02 5.864621514285723149e-04 1.253493934857142708e-03
6.720900000000000485e-02 9.530034957142847346e-04 1.307320902428571376e-03
6.738900000000000445e-02 8.802488757142869257e-04 1.276495568714285838e-03
6.756900000000000406e-02 8.830849042857131679e-04 1.234093046428571617e-03
6.774800000000000266e-02 9.403133371428574897e-04 1.456156789571428755e-03
6.792800000000000227e-02 8.918185985714288102e-04 1.389310844428571492e-03
6.810800000000000187e-02 9.911282871428561247e-04 1.318035616714285495e-03
6.828800000000000148e-02 1.015146601428568813e-03 1.544779624571428677e-03
6.846700000000000008e-02 1.171699511428571589e-03 1.391551304714285908e-03
6.864699999999999969e-02 9.033480971428587509e-04 1.323237768142857375e-03
6.882699999999999929e-02 3.691594142857154682e-04 1.409398570142857262e-03
6.900699999999999890e-02 2.195434771428560639e-04 1.374030867142857128e-03
6.918599999999999750e-02 2.517774742857146640e-04 1.244841648285713960e-03
6.936599999999999711e-02 4.365580528571434975e-04 1.302027410285714563e-03
6.954599999999999671e-02 6.646533842857148700e-04 1.311944064428571420e-03
6.972599999999999631e-02 9.190296871428547953e-04 1.490797793999999949e-03
6.990599999999999592e-02 8.993956200000007657e-04 1.433061331142857072e-03
7.008499999999999452e-02 3.800032571428565010e-04 1.313190850428571635e-03
7.026499999999999413e-02 -1.363502571428780973e-05 1.382750981857142764e-03
7.044499999999999373e-02 3.951275828571439511e-04 1.246501735285714379e-03
7.062499999999999334e-02 5.979787028571432409e-04 1.343598414999999961e-03
7.080400000000000582e-02 4.695340357142855541e-04 1.468344807285714522e-03
7.098400000000000543e-02 5.413924728571425709e-04 1.203955263857142775e-03
7.116400000000000503e-02 4.510366171428581211e-04 1.217033249714285668e-03
7.134400000000000464e-02 2.719544357142857018e-04 1.412762192714285634e-03
7.152300000000000324e-02 4.989513200000004296e-04 1.285051628285714198e-03
7.170300000000000284e-02 4.620067800000000760e-04 1.210481157142857117e-03
7.188300000000000245e-02 6.816965457142852569e-04 1.293053135285714226e-03
